sku,brand,model_name,colorway,retail_price,release_date,days_since_release,is_limited_edition,sentiment_score,drop_frequency,volatility_score,resale_price
NIK-92745,Nike,Air Force 1,Chicago,112,2025-12-31,60,0,0.57,6,0.14,140.38
NEW-29839,New Balance,Dunk Low,Triple White,108,2025-11-21,100,1,-0.44999999999999996,2,0.35,138.16
ASI-89912,Asics,550,UNC,169,2023-09-10,903,0,0.49,11,0.11,224.74
ASI-77031,Asics,Air Force 1,Bred,147,2023-08-20,924,1,0.99,3,0.99,655.72
NEW-18607,New Balance,Yeezy Boost 350,Bred,163,2024-05-30,640,0,-0.29,13,0.36,208.25
JOR-11811,Jordan,Jordan 1 Retro,Triple White,167,2025-02-11,383,1,-0.39,3,0.58,580.28
NEW-62587,New Balance,550,Bred,119,2025-03-15,351,0,-0.89,12,0.62,95.0
ADI-32915,Adidas,Gel-Lyte III,UNC,171,2025-02-20,374,0,-0.99,12,0.43,186.08
YEE-44268,Yeezy,Gel-Lyte III,Panda,160,2023-09-21,892,0,0.79,14,0.1,176.4
YEE-38088,Yeezy,Air Max 90,Chicago,186,2024-04-18,682,0,0.99,18,0.42,211.31
ADI-75007,Adidas,Gel-Lyte III,Chicago,162,2025-05-30,275,1,-0.18999999999999995,2,1.0,416.88
NIK-15222,Nike,Jordan 4,Triple White,160,2026-01-17,43,0,0.05,13,0.66,153.06
NEW-58205,New Balance,Jordan 4,Chicago,169,2025-07-18,226,0,-0.48,8,0.75,188.67
NEW-64090,New Balance,Dunk Low,Chicago,164,2025-12-08,83,0,0.88,5,0.81,183.24
JOR-78603,Jordan,Air Max 90,Panda,188,2024-10-09,508,0,-1.0,11,0.75,159.92
NIK-32706,Nike,Dunk Low,Mocha,109,2023-07-23,952,0,0.55,11,0.83,189.87
YEE-63416,Yeezy,Jordan 4,Bred,183,2024-06-29,610,0,-0.2,19,0.13,213.46
NEW-13225,New Balance,Jordan 4,Triple White,153,2024-11-10,476,0,-0.51,16,0.34,121.71
JOR-15475,Jordan,Gel-Lyte III,Sail,190,2024-08-11,567,0,-0.09,10,0.94,235.09
YEE-27664,Yeezy,Dunk Low,UNC,245,2023-09-17,896,0,-0.76,6,0.69,189.73
ASI-90768,Asics,Gel-Lyte III,Panda,135,2023-12-29,793,1,-0.39,1,0.97,610.89
YEE-54663,Yeezy,550,Triple Black,189,2023-12-17,805,0,0.29,15,0.35,222.44
NIK-86048,Nike,550,Sail,126,2025-10-30,122,0,0.84,11,0.89,196.81
YEE-77688,Yeezy,550,Sail,218,2023-11-09,843,0,-0.57,7,0.02,143.77
JOR-65038,Jordan,Dunk Low,Sail,208,2025-12-31,60,0,0.04,15,0.2,292.89
ASI-76045,Asics,Gel-Lyte III,Mocha,152,2024-11-21,465,0,0.12,19,0.73,148.32
ADI-92271,Adidas,Jordan 1 Retro,Sail,108,2024-08-04,574,0,0.59,12,0.42,140.0
ADI-21993,Adidas,Air Max 90,Chicago,172,2025-06-11,263,1,0.74,1,0.09,525.44
JOR-78109,Jordan,550,Mocha,197,2025-04-07,328,0,-0.78,17,0.2,220.1
JOR-21771,Jordan,Gel-Lyte III,Sail,192,2023-12-25,797,1,1.0,1,0.21,767.45
ADI-69136,Adidas,Jordan 1 Retro,Triple White,93,2024-04-12,688,0,-0.26,15,0.1,132.89
NEW-52428,New Balance,Jordan 1 Retro,Sail,132,2023-09-18,895,1,-0.32999999999999996,2,0.05,490.43
NEW-28028,New Balance,Air Max 90,Chicago,155,2023-08-17,927,0,-0.98,16,0.69,191.46
ASI-22652,Asics,550,Panda,108,2025-05-29,276,0,0.98,18,0.03,156.17
JOR-39525,Jordan,Yeezy Boost 350,Chicago,170,2023-07-16,959,0,-0.03,14,0.48,195.27
JOR-19857,Jordan,Gel-Lyte III,Chicago,178,2025-02-10,384,0,0.27,6,0.42,157.53
JOR-40299,Jordan,550,Triple White,156,2025-07-23,221,0,0.23,9,0.24,227.41
NEW-27888,New Balance,Yeezy Boost 350,Sail,101,2026-01-19,41,0,0.91,17,0.59,142.53
NEW-32238,New Balance,Jordan 4,Bred,130,2025-08-13,200,0,0.88,12,0.01,214.23
ADI-99710,Adidas,Jordan 4,Chicago,172,2025-11-21,100,0,0.46,16,0.49,152.72
